CASES	LEFT	NODE	RIGHT	TRANSLATION	INCLUSION	TRANSLATION_NODE	CXN_ENG	CXN_IDN	TRANSLATION_POS	VOICE_ENG	VOICE_IDN	CLAUSE_TYPE_ENG	FINITENESS_ENG	ROLE_ENG_THIEF	LEX_ENG_THIEF	SEM_ENG_THIEF	SYN_ENG_THIEF	ANIMACY_ENG_THIEF	ROLE_IDN_THIEF	SYN_IDN_THIEF	LEX_IDN_THIEF	SEM_IDN_THIEF	ANIMACY_IDN_THIEF	ROLE_ENG_TARGET	SYN_ENG_TARGET	LEX_ENG_TARGET	SEM_ENG_TARGET	TYPE_ENG_TARGET	ANIMACY_ENG_TARGET	ROLE_IDN_TARGET	SYN_IDN_TARGET	LEX_IDN_TARGET	SEM_IDN_TARGET	TYPE_IDN_TARGET	ANIMACY_IDN_TARGET	ROLE_ENG_GOODS	SYN_ENG_GOODS	LEX_ENG_GOODS	SEM_ENG_GOODS	ANIMACY_ENG_GOODS	ROLE_IDN_GOODS	SYN_IDN_GOODS	LEX_IDN_GOODS	SEM_IDN_GOODS	ANIMACY_IDN_GOODS
3	Did you report it	stolen	?	Apa kau melaporkan dicuri?	TRUE	dicuri	COMPLEX_TRANS	NA	verb	NA	PASS	interrogative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	passive_subject_complex_transitive	it	PRONOUN	inanimate	FALSE	NA	NA	NA	NA
4	I understand you spent time with Detective Blades looking for your car, which you reported	stolen	?	aku tahu kau sudah menghabiskan waktu bersama mencari mobil mu, yang kau laporkan dicuri?	TRUE	dicuri	COMPLEX_TRANS	GOODS-SUBJ-PASS	verb	NA	PASS	interrogative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	passive_subject_complex_transitive	car	VEHICLE	inanimate	TRUE	passive_subject	mobil	VEHICLE	inanimate
5	What exactly do you believe she has	stolen	?	Apa yang dia curi?	TRUE	curi	GOODS-OBJ	GOODS-SUBJ-PASS	verb	AV	OV	interrogative	TRUE	TRUE	she	HUMAN	AV_gr_subj	animate	TRUE	OV_logical_subj	dia	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	what	PRONOUN	inanimate	TRUE	OV_gr_subj	apa	PRONOUN	inanimate
10	My remote control has been	stolen	.	Remote control-ku telah dicuri.	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	possessive_determiner	my	HUMAN	victim	animate	TRUE	possessive_determiner	-ku	HUMAN	victim	animate	TRUE	passive_subject	remote control	ELECTRONICS	inanimate	TRUE	passive_subject	remote control	ELECTRONICS	inanimate
11	That was reported	stolen	.	Dilaporkan dicuri hari ini.	TRUE	dicuri	COMPLEX_TRANS	NA	verb	NA	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	passive_subject_complex_transitive	that	PRONOUN	inanimate	FALSE	NA	NA	NA	NA
12	No, I do not think there is something being	stolen	.	Tidak, saya tidak berpikir ada sesuatu yang dicuri.	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	passive_subject	something	PRONOUN	inanimate	TRUE	passive_subject	sesuatu	PRONOUN	inanimate
13	They'd take the jewellery they'd	stolen	.	Mereka akan mengambil perhiasan yang mereka telah curi...	TRUE	curi	GOODS-OBJ	GOODS-SUBJ-PASS	verb	AV	OV	declarative	TRUE	TRUE	they	HUMAN	AV_gr_subj	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	jewellery	ORNAMENT	inanimate	TRUE	OV_gr_subj	perhiasan	ORNAMENT	inanimate
14	Painting is	stolen	.	Lukisan itu sudah dicuri.	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	passive_subject	painting	ART	inanimate	TRUE	passive_subject	lukisan	ART	inanimate
18	This is Louis Anglet... go to courier in the high-end	stolen	art market.	Ini Louis Anglet menjadi kurir dalam pasar benda-benda seni curian mahal.	TRUE	curian	NP	NP	noun	NOMINAL	NOMINAL	declarative	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	noun_modifier	art	ART	inanimate	TRUE	head_noun	benda seni	ART	inanimate
20	So, now... are you saying that a copy of the exam disappeared, but do not know which class it was, or... if it was	stolen	at the printing office?	Jadi, sekarang ... kau bilang bahwa salinan ujian menghilang, tapi tidak tahu yang mana kelas itu, atau ... Apa itu dicuri di kantor percetakan?	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	interrogative	TRUE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	pp_complement	office	PLACE	source	inanimate	TRUE	pp_complement	kantor	PLACE	source	inanimate	TRUE	passive_subject	it	PRONOUN	inanimate	TRUE	passive_subject	itu	PRONOUN	inanimate
24	We've been getting a lot of calls about	stolen	cop cars.	Kami mendapatkan banyak panggilan tentang mobil polisi yang dicuri.	TRUE	dicuri	NP	GOODS-SUBJ-PASS	verb	NA	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	head_noun	car	VEHICLE	inanimate	TRUE	passive_subject	mobil	VEHICLE	inanimate
25	I would've	stolen	diamonds, laptop.	Aku sudah mencuri perhiasan, laptop.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	aku	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	diamonds_laptop	MINERAL_ELECTRONICS	inanimate	TRUE	direct_object	perhiasan_laptop	MINERAL_ELECTRONICS	inanimate
28	The skull was	stolen	from Akator in the 15th century.	Tengkorak itu dicuri dari Akator pada abad ke-15.	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	pp_complement	Akator	PLACE	source	inanimate	TRUE	pp_complement	Akator	PLACE	source	inanimate	TRUE	passive_subject	skull	BODY PART	inanimate	TRUE	passive_subject	tengkorak	BODY PART	inanimate
29	And then it was	stolen	from me again!	Kemudian kau mencurinya juga dariku.	TRUE	mencuri	GOODS-SUBJ-PASS	GOODS-OBJ	verb	PASS	AV	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	pp_complement	me	HUMAN	victim	animate	TRUE	pp_complement	-ku	HUMAN	victim	animate	TRUE	passive_subject	it	PRONOUN	inanimate	TRUE	encliticised_direct_object	-nya	PRONOUN	inanimate
31	Nothing	stolen	from the port.	Negatif! Tidak ada yang di curi di pelabuhan. Bingo!	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	pp_complement	port	PLACE	source	inanimate	TRUE	pp_complement	pelabuhan	PLACE	source	inanimate	TRUE	passive_subject	nothing	PRONOUN	inanimate	TRUE	passive_subject	yang	PRONOUN	inanimate
33	Well, you were most unlucky to have so many cumbersome objects	stolen	from you.	Kau yang paling beruntung untuk memiliki begitu banyak benda rumit dicuri dari Anda.	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	pp_complement	you	HUMAN	victim	animate	TRUE	pp_complement	Anda	HUMAN	victim	animate	TRUE	passive_subject	objects	ASSETS	inanimate	TRUE	passive_subject	benda	ASSETS	inanimate
35	If someone's using the market to sell	stolen	goods, that's of significant concern.	Maaf. Jika seseorang menggunakan pasar ini untuk menjual barang curian, itu menjadi perhatian yang signifikan.	TRUE	curian	NP	NP	noun	NOMINAL	NOMINAL	declarative	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	head_noun	goods	ASSETS	inanimate	TRUE	head_noun	barang	ASSETS	inanimate
38	Everything I took for granted-	stolen	in a New York minute.	Semua yang saya menerima begitu saja - dicuri di New York menit.	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	passive_subject	everything	PRONOUN	inanimate	TRUE	passive_subject	yang	PRONOUN	inanimate
41	Now he could have	stolen	my records without ever seeing her.	Padahal dia bisa mencuri rekamanku tanpa harus menemuinya.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	he	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	dia	HUMAN	animate	TRUE	possessive_determiner	my	HUMAN	victim	animate	TRUE	possessive_determiner	-ku	HUMAN	victim	animate	TRUE	direct_object	record	DOCUMENT	inanimate	TRUE	direct_object	rekaman	DOCUMENT	inanimate
43	You dare accuse our people of theft while you ride in on a	stolen	sand sailer?	Kau berani menuduh orang kami sebagai pencuri, tapi kalian menggunakan kapal curian?	TRUE	curian	NP	NP	noun	NOMINAL	NOMINAL	interrogative	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	head_noun	sand sailer	VEHICLE	inanimate	TRUE	head_noun	kapal	VEHICLE	inanimate
44	Heck, you had your set list	stolen	the day of the competition at Sectionals, and you pulled that one off, right?	Kalian kedapatan set list kalian dicuri dihari kompetisi saat Sectionals, dan kalian berhasil menang, iya kan?	TRUE	dicuri	COMPLEX_TRANS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	possessive_determiner	your	HUMAN	victim	animate	TRUE	possessive_determiner	kalian	HUMAN	victim	animate	TRUE	passive_subject_complex_transitive	list	DOCUMENT	inanimate	TRUE	passive_subject	list	DOCUMENT	inanimate
48	Yeah, I need to report a	stolen	vehicle.	Ya.Saya ingin melaporkan kendaran yang hilang.	TRUE	hilang	NP	GOODS-SUBJ-PASS	verb	NA	AV	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	head_noun	vehicle	VEHICLE	inanimate	TRUE	av_subject	kendaraan	VEHICLE	inanimate
49	And there was another keepsake of hers, but it got	stolen	with my stuff.	Dan ada kenang-kenangan dari dirinya lagi, tapi dicuri bersama dengan barang yang lain.	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	passive_subject	it	ABSTRACTION	inanimate	TRUE	passive_subject	kenang-kenangan	ABSTRACTION	inanimate
50	It's the first thing I ever	stole	, actually.	Sebenarnya ini benda pertama yang kucuri.	TRUE	curi	GOODS-OBJ	GOODS-SUBJ-PASS	verb	AV	OV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj	animate	TRUE	OV_logical_subj	ku-	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	thing	PRONOUN	inanimate	TRUE	OV_gr_subj	benda	ASSETS	inanimate
52	"""- Do you have proof that she"	stole	?	"""- Kau punya bukti dia mencuri?"	TRUE	mencuri	INTR	INTR	verb	AV	AV	interrogative	TRUE	TRUE	she	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	dia	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
56	The chemicals they	stole	"""--torinium and lydracide-- they have absolutely zero street value."	Bahan kimia yang mereka curi-- torinium dan lydracide-- keduanya sama sekali tak bernilai di jalanan sana.	TRUE	curi	GOODS-OBJ	GOODS-SUBJ-PASS	verb	AV	OV	declarative	TRUE	TRUE	they	HUMAN	AV_gr_subj	animate	TRUE	OV_logical_subj	mereka	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	chemical	DRUG	inanimate	TRUE	OV_gr_subj	bahan kimia	DRUG	inanimate
57	"What do you mean, """	stole	"""? Like, picked your pocket?"	"Apa maksudmu, ""mencuri"" seperti, mencopet dari sakumu?"	TRUE	mencuri	NOMINAL	NOMINAL	verb	NOMINAL	AV	interrogative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	And he	stole	$500 from me, back in the 1980s!	Dan dia mencuri $ 500 dariku..,.. Saat tahun 1980 !	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	he	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	dia	HUMAN	animate	TRUE	pp_complement	me	HUMAN	victim	animate	TRUE	pp_complement	-ku	HUMAN	victim	animate	TRUE	direct_object	$500	ASSETS	inanimate	TRUE	direct_object	$500	ASSETS	inanimate
60	You	stole	a car, ran over a hillbilly, you got arrested, you got in a prison fight.	Anda mencuri mobil, menabrak sebuah dusun, Anda ditangkap, Anda masuk bertengkar penjara.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	anda	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	car	VEHICLE	inanimate	TRUE	direct_object	mobil	VEHICLE	inanimate
62	I only	stole	a few coins.	Aku hanya mencuri beberapa koin.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	aku	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	coin	ASSETS	inanimate	TRUE	direct_object	koin	ASSETS	inanimate
64	The other day, someone	stole	a radio...	Beberapa hari yang lalu, seseorang mencuri radio.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	someone	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	seseorang	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	radio	ELECTRONICS	inanimate	TRUE	direct_object	radio	ELECTRONICS	inanimate
65	He	stole	a truck when he was eleven years old.	Dia mencuri sebuah truk saat berusia 11 tahun.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	he	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	dia	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	truck	VEHICLE	inanimate	TRUE	direct_object	truk	VEHICLE	inanimate
67	Does spyder know you and Lupe	stole	all the drugs?	Apakah spyder tau kau dan lupe mencuri semua obat?	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	you_and_Lupe	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kau_dan_lupe	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	drugs	DRUG	inanimate	TRUE	direct_object	obat	DRUG	inanimate
68	With the man who	stole	beckworth. - It is a complicated issue.	Dia ingin tahu mengapa aku sangat marah dengan orang yang mencuri Beckworth.	TRUE	mencuri	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	man	HUMAN	AV_gr_subj_in_RelCl	animate	TRUE	AV_gr_subj_in_RelCl	orang	HUMAN	animate	TRUE	direct_object	Beckworth	PLACE	source	inanimate	TRUE	direct_object	Beckworth	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
74	I	stole	everything for us.	Aku mencuri apa saja untuk kita.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	aku	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	everything	PRONOUN	inanimate	TRUE	direct_object	apa saja	PRONOUN	inanimate
75	You	stole	food from a wheelchair bound retarded boy.	Kau mencuri makanan dari anak terbelang yang berkursi roda.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	pp_complement	boy	HUMAN	victim	animate	TRUE	pp_complement	anak	HUMAN	victim	animate	TRUE	direct_object	food	FOOD	inanimate	TRUE	direct_object	makanan	FOOD	inanimate
77	"""- Yes, I do. Tell me about it. Like the letter says, which I wrote in a moment of anger, they"	stole	from me, from my family.	Seperti kata suratnya, yang kutulis dalam kemarahan, mereka mencuri dariku, dari keluargaku.	TRUE	mencuri	INTR	INTR	verb	AV	AV	declarative	TRUE	TRUE	they	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	mereka	HUMAN	animate	TRUE	pp_complement	me_my family	HUMAN	victim	animate	TRUE	pp_complement	-ku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
78	Where's the matchbox you	stole	from me?	Di mana korek api yang kau curi dariku?	TRUE	curi	GOODS-OBJ	GOODS-SUBJ-PASS	verb	AV	OV	interrogative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	OV_logical_subj	kau	HUMAN	animate	TRUE	pp_complement	me	HUMAN	victim	animate	TRUE	pp_complement	-ku	HUMAN	victim	animate	TRUE	direct_object	matchbox	TOOL	inanimate	TRUE	OV_gr_subj	korek api	TOOL	inanimate
81	"""It was I who"	stole	"fruits, set fire to people's trousers... right?"""	Akulah yang mencuri buah, bakar celana orang, benar?	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj_in_RelCl	animate	TRUE	AV_gr_subj_in_RelCl	aku	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	fruit	FOOD	inanimate	TRUE	direct_object	buah	FOOD	inanimate
83	"""- You"	stole	him from Scott Fischer.	"""- Kau menculiknya dari Scott Fischer."	TRUE	menculik	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	pp_complement	Scott Fischer	HUMAN	victim	animate	TRUE	pp_complement	Scott Fischer	HUMAN	victim	animate	TRUE	direct_object	him	HUMAN	animate	TRUE	encliticised_direct_object	-nya	PRONOUN	animate
86	I snuck into his truck and, uh,	stole	his sunflower seeds.	Aku masuk ke mobilnya dan, uh, mencuri biji bunga mataharinya.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	aku	HUMAN	animate	TRUE	possessive_determiner	his	HUMAN	victim	animate	TRUE	possessive_determiner	-nya	HUMAN	victim	animate	TRUE	direct_object	seed	PLANT	animate	TRUE	direct_object	biji bunga matahari	PLANT	inanimate
88	The last time we needed it, we, uh,	stole	it from a one-percenter.	Terakhir kali kami membutuhkannya, kami mencurinya dari seorang kaya.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	we	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kami	HUMAN	animate	TRUE	pp_complement	one-percenter	HUMAN	victim	animate	TRUE	pp_complement	seorang kaya	HUMAN	victim	animate	TRUE	direct_object	it	PRONOUN	inanimate	TRUE	encliticised_direct_object	-nya	PRONOUN	inanimate
89	They	stole	it from the race track.	Mereka mencurinya dari tempat pacuan kuda.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	they	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	mereka	HUMAN	animate	TRUE	pp_complement	race track	PLACE	source	inanimate	TRUE	pp_complement	tempat	PLACE	source	inanimate	TRUE	direct_object	it	PRONOUN	inanimate	TRUE	encliticised_direct_object	-nya	PRONOUN	inanimate
91	We, uh,	stole	it from these dumb-ass cops.	Kami, eh, mencuri dari ini bodoh-ass polisi.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	we	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kami	HUMAN	animate	TRUE	pp_complement	cops	HUMAN	victim	animate	TRUE	pp_complement	polisi	HUMAN	victim	animate	TRUE	direct_object	it	PRONOUN	inanimate	FALSE	NA	NA	NA	NA
