CASES	LEFT	NODE	RIGHT	TRANSLATION	INCLUSION	TRANSLATION_NODE	CXN_ENG	CXN_IDN	TRANSLATION_POS	VOICE_ENG	VOICE_IDN	CLAUSE_TYPE_ENG	FINITENESS_ENG	ROLE_ENG_THIEF	LEX_ENG_THIEF	SEM_ENG_THIEF	SYN_ENG_THIEF	ANIMACY_ENG_THIEF	ROLE_IDN_THIEF	SYN_IDN_THIEF	LEX_IDN_THIEF	SEM_IDN_THIEF	ANIMACY_IDN_THIEF	ROLE_ENG_TARGET	SYN_ENG_TARGET	LEX_ENG_TARGET	SEM_ENG_TARGET	TYPE_ENG_TARGET	ANIMACY_ENG_TARGET	ROLE_IDN_TARGET	SYN_IDN_TARGET	LEX_IDN_TARGET	SEM_IDN_TARGET	TYPE_IDN_TARGET	ANIMACY_IDN_TARGET	ROLE_ENG_GOODS	SYN_ENG_GOODS	LEX_ENG_GOODS	SEM_ENG_GOODS	ANIMACY_ENG_GOODS	ROLE_IDN_GOODS	SYN_IDN_GOODS	LEX_IDN_GOODS	SEM_IDN_GOODS	ANIMACY_IDN_GOODS
92	Vultan	stole	it while we were burying our dead.	Vultan mencurinya saat kami mengubur jenazah rekan kami.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	Vultan	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	Vultan	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	it	PRONOUN	inanimate	TRUE	encliticised_direct_object	-nya	PRONOUN	inanimate
94	I shall take back the North from the thieves who	stole	it.	Aku akan merebut kembali Utara dari pencuri yang merampasnya.	TRUE	merampas	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	thieves	HUMAN	AV_gr_subj_in_RelCl	animate	TRUE	AV_gr_subj	pencuri	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	it	PRONOUN	inanimate	TRUE	direct_object	-nya	PRONOUN	inanimate
96	"""- I thought he"	stole	it.	"""- Kukira dia mencurinya."	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	dia	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	it	PRONOUN	inanimate	TRUE	encliticised_direct_object	-nya	PRONOUN	inanimate
97	Xiao	stole	it.What's our next step?	Xiao mencurinya. Apa langkah kita selanjutnya?	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	Xiao	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	Xiao	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	it	PRONOUN	inanimate	TRUE	encliticised_direct_object	-nya	PRONOUN	inanimate
99	I	stole	Lionel's Kryptonite key.	Aku mencuri kunci kryptonite-nya Lionel.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	aku	HUMAN	animate	TRUE	possessive_determiner	Lionel	HUMAN	victim	animate	TRUE	possessive_determiner	Lionel	HUMAN	victim	animate	TRUE	direct_object	key	TOOL	inanimate	TRUE	direct_object	kunci	TOOL	inanimate
102	Someone	stole	my car this morning.	Mobilku dicuri tadi pagi.	TRUE	dicuri	GOODS-OBJ	GOODS-OBJ	verb	AV	PASS	declarative	TRUE	TRUE	someone	HUMAN	AV_gr_subj	animate	FALSE	NA	NA	NA	NA	TRUE	possessive_determiner	my	HUMAN	victim	animate	TRUE	possessive_determiner	-ku	HUMAN	victim	animate	TRUE	direct_object	car	VEHICLE	inanimate	TRUE	passive_subject	mobil	VEHICLE	inanimate
104	They	stole	my copyright, and now there's a new edition, and guess what?	Mereka mencuri hak cipta, dan sekarang ada edisi baru, dan coba tebak?	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	they	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	mereka	HUMAN	animate	TRUE	possessive_determiner	my	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	copyright	ASSETS	inanimate	TRUE	direct_object	hak cipta	ASSETS	inanimate
105	He disarmed me, held me at gunpoint then he	stole	my damn ride.	Dia melucutiku, menodongku dan mencuri kendaraanku.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	he	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	dia	HUMAN	animate	TRUE	possessive_determiner	my	HUMAN	victim	animate	TRUE	possessive_determiner	-ku	HUMAN	victim	animate	TRUE	direct_object	ride	VEHICLE	inanimate	TRUE	direct_object	kendaraan	VEHICLE	inanimate
107	Until stagg	stole	my research.	Sampai Stagg mencuri penelitianku.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	Stagg	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	Stagg	HUMAN	animate	TRUE	possessive_determiner	my	HUMAN	victim	animate	TRUE	possessive_determiner	-ku	HUMAN	victim	animate	TRUE	direct_object	research	ASSETS	inanimate	TRUE	direct_object	penelitian	ASSETS	inanimate
112	I know you	stole	our routine.	Saya tahu kau mencuri rutinitas kami.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	possessive_determiner	our	HUMAN	victim	animate	TRUE	possessive_determiner	kami	HUMAN	victim	animate	TRUE	direct_object	routine	ABSTRACTION	inanimate	TRUE	direct_object	rutinitas	ABSTRACTION	inanimate
113	She broke into my desk, and she	stole	our vacation money.	dan mencuri uang liburan kita.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	she	HUMAN	AV_gr_subj	animate	FALSE	NA	NA	NA	NA	TRUE	possessive_determiner	our	HUMAN	victim	animate	TRUE	possessive_determiner	kita	HUMAN	victim	animate	TRUE	direct_object	money	ASSETS	inanimate	TRUE	direct_object	uang liburan	ASSETS	inanimate
114	Dude, the fucking midgets just	stole	our women.	Teman, mereka mencuri wanita kami.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	midgets	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	mereka	HUMAN	animate	TRUE	possessive_determiner	our	HUMAN	victim	animate	TRUE	possessive_determiner	kami	HUMAN	victim	animate	TRUE	direct_object	women	HUMAN	animate	TRUE	direct_object	wanita	HUMAN	animate
115	You	stole	parts for your old cars.	Kakek juga dulu curi onderdil buat mobilnya.	TRUE	curi	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kakek	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	part	TOOL	inanimate	TRUE	direct_object	onderdil	TOOL	inanimate
120	You	stole	that treasure from them!	Kau mencuri harta itu dari mereka!	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	pp_complement	them	HUMAN	victim	animate	TRUE	pp_complement	mereka	HUMAN	victim	animate	TRUE	direct_object	treasure	ASSETS	inanimate	TRUE	direct_object	harta	ASSETS	inanimate
121	You	stole	the CIA's electromagnetic bullet shield.	Anda mencuri elektromagnetik perisai peluru CIA.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	anda	HUMAN	animate	TRUE	possessive_determiner	CIA	HUMAN	source	inanimate	TRUE	possessive_determiner	CIA	HUMAN	source	inanimate	TRUE	direct_object	shield	WEAPON	inanimate	TRUE	direct_object	perisai_peluru_elektromagnetik	WEAPON	inanimate
124	Somebody had to tell you who	stole	the goods.	Seseorang harus memberitahu Anda yang mencuri barang.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	who	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	yang	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	goods	ASSETS	inanimate	TRUE	direct_object	barang	ASSETS	inanimate
125	Two hours ago, unknown persons	stole	the hard drive from Deputy Director Rovick's home in Dupont Circle.	2 jam yang lalu, orang tak dikenal mencuri cakram keras... dari rumah Deputi Direktur Rovick di Dupont Circle.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	persons	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	orang_tak_dikenal	HUMAN	animate	TRUE	pp_complement	home	PLACE	source	inanimate	TRUE	pp_complement	rumah	PLACE	source	inanimate	TRUE	direct_object	hard drive	ELECTRONICS	inanimate	TRUE	direct_object	cakram keras	ELECTRONICS	inanimate
129	They ambushed Jin We and	stole	the sacred orb.	Mereka menyerang Jin We dan mencuri bola keramatnya.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	they	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	mereka	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	orb	ASSETS	inanimate	TRUE	direct_object	bola	ASSETS	inanimate
133	I can't believe you guys	stole	this from her house.	Aku tak percaya kalian Mengambil ini dari rumahnya.	TRUE	mengambil	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kalian	HUMAN	animate	TRUE	pp_complement	house	PLACE	source	inanimate	TRUE	pp_complement	rumah	PLACE	source	inanimate	TRUE	direct_object	this	PRONOUN	inanimate	TRUE	direct_object	ini	PRONOUN	inanimate
135	I	stole	this woman's body so that I could come see you.	Aku mencuri tubuh gadis ini untuk bertemu denganmu.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	aku	HUMAN	animate	TRUE	possessive_determiner	woman	HUMAN	victim	animate	TRUE	possessive_determiner	gadis	HUMAN	victim	animate	TRUE	direct_object	body	BODY PART	inanimate	TRUE	direct_object	tubuh	BODY PART	inanimate
136	Sorry I can't take you back to where I	stole	you for maintenance.	Maaf aku tak bisa mengembalikanmu Ke tempat aku mencurimu.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	aku	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	you	HUMAN	animate	TRUE	encliticised_direct_object	-mu	HUMAN	inanimate
137	And I think, he felt like I	stole	you from him.	Dan kupikir, dia merasa sepertinya aku mencuri kamu darinya.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	aku	HUMAN	animate	TRUE	pp_complement	him	HUMAN	victim	animate	TRUE	pp_complement	-nya	HUMAN	victim	animate	TRUE	direct_object	you	HUMAN	animate	TRUE	direct_object	kamu	HUMAN	animate
139	So I	stole	your files.	Jadi kucuri file-mu.	TRUE	curi	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	ku-	HUMAN	animate	TRUE	possessive_determiner	your	HUMAN	victim	animate	TRUE	possessive_determiner	-mu	HUMAN	victim	animate	TRUE	direct_object	file	DOCUMENT	inanimate	TRUE	direct_object	file	DOCUMENT	inanimate
140	Well, he	stole	your husband's ID and started impersonating him.	Dia mencuri identitas suamimu dan mulai meniru dia.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	he	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	dia	HUMAN	animate	TRUE	possessive_determiner	your husband	HUMAN	victim	animate	TRUE	possessive_determiner	-mu	HUMAN	victim	animate	TRUE	direct_object	ID	DOCUMENT	inanimate	TRUE	direct_object	identitas	DOCUMENT	inanimate
143	That, and nobody	steals	beef barley soup.	Itu, dan tak seorangpun mau mencuri sup barley sapi.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	nobody	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	tak_seorangpun	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	soup	FOOD	inanimate	TRUE	direct_object	sup	FOOD	inanimate
144	She	steals	clothes, identities--	Dia mencuri pakaian, identitas - b Apa sih yang terjadi di sini?	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	she	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	dia	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	clothes_identity	GARMENT_DOCUMENT	inanimate	TRUE	direct_object	pakaian_identitas	GARMENT_DOCUMENT	inanimate
146	He	steals	from gaming tables and steals a girl's heart	Dia mencuri dari meja judi dan mencuri hati para wanita	TRUE	mencuri	INTR	INTR	verb	AV	AV	declarative	TRUE	TRUE	he	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	dia	HUMAN	animate	TRUE	pp_complement	tables	TOOL	source	inanimate	TRUE	pp_complement	meja	TOOL	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
149	He	steals	our phone chargers.	Dia mencuri pengisi baterai telepon kami.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	he	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	dia	HUMAN	animate	TRUE	possessive_determiner	our	HUMAN	victim	animate	TRUE	possessive_determiner	kami	HUMAN	victim	animate	TRUE	direct_object	charger	ELECTRONICS	inanimate	TRUE	direct_object	pengisi baterai telepon	ELECTRONICS	inanimate
152	You're	stealing	?	Anda mencuri?	TRUE	mencuri	INTR	INTR	verb	AV	AV	interrogative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	anda	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
153	Then why did he talk about	stealing	?	Lalu kenapa dia bicara tentang mencuri?	TRUE	mencuri	NOMINAL	NOMINAL	verb	NOMINAL	AV	interrogative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
158	I think she might be	stealing	.	Kupikir dia mungkin mencuri.	TRUE	mencuri	INTR	INTR	verb	AV	AV	declarative	TRUE	TRUE	she	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	dia	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
159	Taking anything from my land would be considered	stealing	. And you don't want to steal from me, do you?	Menggali sesuatu di tanahku bisa disebut mencuri, dan kau tak ingin mencuri dariku, kan?	TRUE	mencuri	NOMINAL	NOMINAL	verb	NOMINAL	AV	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
161	You don't know the first thing about	stealing	' a car!	Kau tidak tahu apa-apa tentang cara mencuri mobil!	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	NOMINAL	AV	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	car	VEHICLE	inanimate	TRUE	direct_object	mobil	VEHICLE	inanimate
164	"""- It's streaming right now. - They are planting a virus and"	stealing	a whole lot of data from your system at the same time.	Mereka menyebar virus dan sekaligus mencuri data dari sistemmu.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	they	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	mereka	HUMAN	animate	TRUE	pp_complement	system	ELECTRONICS	source	inanimate	TRUE	pp_complement	sistem	ELECTRONICS	source	inanimate	TRUE	direct_object	data	ASSETS	inanimate	TRUE	direct_object	data	ASSETS	inanimate
168	Am I the only one who feels funny about	stealing	from a...?	Atau aku hanya merasa tak nyaman untuk mencuri dari seseorang...?	TRUE	mencuri	INTR	INTR	verb	NOMINAL	AV	interrogative	FALSE	TRUE	I	HUMAN	NA	animate	TRUE	NA	aku	HUMAN	animate	TRUE	pp_complement	NA	NA	NA	NA	TRUE	pp_complement	seseorang	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
174	Rohan is good at	stealing	hearts!	Rohan yang baik pada mencuri hati!	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	NOMINAL	AV	declarative	FALSE	TRUE	Rohan	HUMAN	AV_gr_subj	animate	TRUE	NA	Rohan	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	heart	BODY PART	inanimate	TRUE	direct_object	hati	BODY PART	inanimate
175	Is Willie Bank know you're	stealing	his gold flatware, Neil?	Apa Willy Bank tahu kau curi sendok garpu emasnya, Neil?	TRUE	curi	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	possessive_determiner	his	HUMAN	victim	animate	TRUE	possessive_determiner	-nya	HUMAN	victim	animate	TRUE	direct_object	flatware	METAL	inanimate	TRUE	direct_object	sendok garpu emas	METAL	inanimate
177	James - James Van Der Beek. What's up with Pacey	stealing	Joey away from you?	James, tepatnya, James Van Der Beek./ Kenapa Pacey mencuri Joey darimu?	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	NOMINAL	AV	interrogative	FALSE	TRUE	Pacey	HUMAN	AV_gr_subj_in_SubCl	animate	TRUE	AV_gr_subj	Pacey	HUMAN	animate	TRUE	pp_complement	you	HUMAN	victim	animate	TRUE	pp_complement	-mu	HUMAN	victim	animate	TRUE	direct_object	Joey	HUMAN	animate	TRUE	direct_object	Joey	HUMAN	animate
178	She and her father are responsible for	stealing	medicine from wounded Japanese soldiers and smuggling it to American prisoners of war.	Dia dan ayahnya Bertanggung jawab atas pencurian obat Dari tentara Jepang yang terluka	TRUE	pencurian	NOMINAL	NP	noun	NOMINAL	NOMINAL	declarative	FALSE	TRUE	she_and_her_father	HUMAN	AV_gr_subj	animate	TRUE	NA	dia_dan_ayahnya	HUMAN	animate	TRUE	pp_complement	soldiers	HUMAN	victim	animate	TRUE	pp_complement	tentara	HUMAN	victim	animate	TRUE	direct_object	medicine	DRUG	inanimate	TRUE	noun_modifier	obat	DRUG	inanimate
180	I love that we live in a city where the police are more interested in catching you than the drug-	stealing	mobsters.	Aku suka hidup di kota di mana polisinya lebih tertarik menangkapmu dibandingkan pencuri obatnya.	TRUE	pencuri	NOMINAL	NP	noun	NOMINAL	NOMINAL	declarative	FALSE	TRUE	mobsters	HUMAN	NP_head	animate	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	drug	DRUG	inanimate	TRUE	noun_modifier	obat	DRUG	inanimate
181	Right now yöu're	stealing	my dialogue.	Sekarang kau mencuri dialogku.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	possessive_determiner	my	HUMAN	victim	animate	TRUE	possessive_determiner	-ku	HUMAN	victim	animate	TRUE	direct_object	dialogue	ABSTRACTION	inanimate	TRUE	direct_object	dialog	ABSTRACTION	inanimate
182	Are you	stealing	secrets from MBI?	Kau mencuri rahasia MBI?	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	pp_complement	MBI	HUMAN	source	inanimate	TRUE	possessive_determiner	MBI	HUMAN	source	inanimate	TRUE	direct_object	secret	ASSETS	inanimate	TRUE	direct_object	rahasia	ASSETS	inanimate
184	Never did get you for	stealing	that money?	Kau tak pernah tertangkap mencuri uang itu?	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	NOMINAL	AV	interrogative	FALSE	TRUE	you	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	kau	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	money	ASSETS	inanimate	TRUE	direct_object	uang	ASSETS	inanimate
193	"""-"	stealing	up at his store.	"""- mencuri di tokonya."	TRUE	mencuri	INTR	INTR	verb	NOMINAL	AV	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	possessive_determiner	his	HUMAN	victim	animate	TRUE	possessive_determiner	-nya	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
195	for	stealing	wood.	karena mencuri kayu.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	NOMINAL	AV	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	wood	PLANT	inanimate	TRUE	direct_object	kayu	PLANT	inanimate
197	This is one big family, like sisters and brothers, because you have this close relationship, but it's not really close, like	stealing	your heart from your best friend.	Ini adalah salah satu keluarga besar, seperti saudara dan saudara-saudara, karena Anda telah hubungan sedekat ini, tapi bukan sangat dekat, seperti mencuri hati dari teman terbaik Anda.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	NOMINAL	AV	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	pp_complement	friend	HUMAN	victim	animate	TRUE	pp_complement	teman	HUMAN	victim	animate	TRUE	direct_object	heart	BODY PART	inanimate	TRUE	direct_object	hati	BODY PART	inanimate
